L,N,DT,S
100,256,1E-19,5.3619
100,256,5E-19,5.3624
100,256,1E-18,5.3638
100,256,5E-18,5.4032
100,512,1E-19,5.0078
100,512,5E-19,5.0075
100,512,1E-18,5.0066
100,1024,1E-19,5.0307
100,2048,1E-19,5.0379
250,256,1E-19,30.0324
250,256,5E-19,30.0327
250,256,1E-18,30.0332
250,256,5E-18,30.0354
250,512,1E-19,27.6468
250,512,5E-19,27.6473
250,512,1E-18,27.6474
250,512,5E-18,27.6549
250,1024,1E-19,5.0002
250,1024,5E-19,5.0001
250,1024,1E-18,5.0001
250,2048,1E-19,5.0257
250,2048,5E-19,5.025
400,256,1E-19,15.013
400,256,5E-19,15.0134
400,256,1E-18,15.0132
400,256,5E-18,15.0159
400,512,1E-19,5.0428
400,512,5E-19,5.0428
400,512,1E-18,5.0427
400,512,5E-18,5.0416
400,1024,1E-19,5.3498
400,1024,5E-19,5.3503
400,1024,1E-18,5.3517
400,1024,5E-18,5.3915
400,2048,1E-19,5.0079
400,2048,5E-19,5.0076
400,2048,1E-18,5.0067
550,256,1E-19,7.8836
550,256,5E-19,7.8838
550,256,1E-18,7.884
550,256,5E-18,7.8854
550,512,1E-19,9.8412
550,512,5E-19,9.8412
550,512,1E-18,9.8412
550,512,5E-18,9.8409
550,1024,1E-19,10.3918
550,1024,5E-19,10.3921
550,1024,1E-18,10.3931
550,1024,5E-18,10.4114
550,2048,1E-19,5.0016
550,2048,5E-19,5.0017
550,2048,1E-18,5.002
700,256,1E-19,5.4684
700,256,5E-19,5.4684
700,256,1E-18,5.4684
700,256,5E-18,5.4685
700,512,1E-19,7.1028
700,512,5E-19,7.1029
700,512,1E-18,7.1029
700,512,5E-18,7.1066
700,1024,1E-19,5.1481
700,1024,5E-19,5.1482
700,1024,1E-18,5.1484
700,1024,5E-18,5.1546
700,2048,1E-19,5.0781
700,2048,5E-19,5.0784
700,2048,1E-18,5.0796
700,2048,5E-18,5.1145
850,256,1E-19,9.3152
850,256,5E-19,9.3153
850,256,1E-18,9.3156
850,256,5E-18,9.3175
850,512,1E-19,6.5494
850,512,5E-19,6.5495
850,512,1E-18,6.5497
850,512,5E-18,6.5513
850,1024,1E-19,5.3247
850,1024,5E-19,5.3247
850,1024,1E-18,5.3246
850,1024,5E-18,5.3236
850,2048,1E-19,5.7286
850,2048,5E-19,5.7291
850,2048,1E-18,5.7307
850,2048,5E-18,5.7685
1000,256,1E-19,27.838
1000,256,5E-19,27.8383
1000,256,1E-18,27.8383
1000,256,5E-18,27.8419
1000,512,1E-19,26.9789
1000,512,5E-19,26.9792
1000,512,1E-18,26.9798
1000,512,5E-18,26.9808
1000,1024,1E-19,26.4062
1000,1024,5E-19,26.4064
1000,1024,1E-18,26.4069
1000,1024,5E-18,26.4091
1000,2048,1E-19,26.0323
1000,2048,5E-19,26.0327
