iterations,0,1,2,3,4,5
100000.0,0.00045770646069373815,0.0013730903724276876,0.0011573872494428637,0.0025385506110288587,0.0014774708027202633,0.0022537992991973604
200000.0,4.1761319682713934e-08,1.2528395925586688e-07,1.0442587474274951e-07,2.2971671459692054e-07,1.3232054971242913e-07,2.0192069490497294e-07
300000.0,3.811206538885075e-12,1.143362360839715e-11,9.530197025789213e-12,2.0964562113626842e-11,1.2077916430707976e-11,1.844015129393344e-11
400000.0,3.551714242663472e-16,1.0655816542075726e-15,9.000300859203957e-16,1.994958113666062e-15,1.735365428787662e-15,1.2099797124091274e-14
500000.0,1.4315074552662365e-19,4.43249137888382e-19,1.3547883994285451e-18,2.3686500751637472e-17,5.750027134347006e-16,1.0330590788619081e-14
600000.0,4.0888802093189446e-20,1.394450312330488e-19,9.943272088119967e-19,2.2951206995059878e-17,5.743471742474754e-16,1.0329591393529343e-14
700000.0,4.0102756359533886e-20,1.3750790107362978e-19,9.931782694599656e-19,2.294564114881714e-17,5.74341488149355e-16,1.0329590912028106e-14
800000.0,3.9786018372036856e-20,1.3663153288957596e-19,9.926958645281382e-19,2.2943709084124937e-17,5.74339857662145e-16,1.032958841271301e-14
900000.0,3.9759168291119163e-20,1.3618532273756774e-19,9.92598004984523e-19,2.2943058202022435e-17,5.743361018325303e-16,1.0329582372370315e-14
1000000.0,3.969911748356927e-20,1.3582890113752606e-19,9.925155173700913e-19,2.294280494448795e-17,5.743359017508842e-16,1.0329582975521956e-14
